,Nama,Parti,Jawatan dalam Parlimen,Jawatan dalam Kabinet,Tempat Duduk,Parlimen,Kawasan,Negeri,No. Telefon,No. Faks,Email,Alamat Surat-menyurat,image_URL,,MAKLUMAT,Media Sosial
199,YB PUAN WONG SHU QI,PH - DAP,,,D-47,P152,KLUANG,Johor,07-7711778,,mp@wongshuqi.my,"29, Jalan Perniagaan Tasik 1, Pusat Perniagaan Tasik, 86000 Kluang, Johor",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.152-KLUANG.png,,MAKLUMAT,
200,YB TUAN HASSAN BIN ABDUL KARIM,PH - PKR,,,E-43,P159,PASIR GUDANG,Johor,07-6881839 / 07-6877952,07-6882369,hassan.abdulkarim51@gmail.com,"No.55B,Kampung Melayu, Pontian Besar Kiri, 82000 Pontian, Johor.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.159-PASIR GUDANG.png,,MAKLUMAT,
201,YB TUAN TEH KOK LIM,PH - DAP,,,D-52,P060,TAIPING,Perak,05-8050672,05-8083100,koklimteh@gmail.com,"101, Tingkat 1, Jalan Taming Sari, 34000 Taiping, Perak Darul Ridzwan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.060-TAIPING.png,,MAKLUMAT,
202,YB TUAN AWANG HUSAINI BIN SAHARI,PH - PKR,,,D-51,P173,PUTATAN,Sabah,088-778865,,husainisahari67@gmail.com / parlimenputatan@gmail.com,"Pejabat Pusat Khidmat Ahli Parlimen P173 Putatan, Lot 1 Aras 2 Silvergate Plaza Jalan Taipakkung 88200 Putatan Sabah",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.173-PUTATAN.png,,MAKLUMAT,
203,YB TUAN CHA KEE CHIN,PH - DAP,,,D-50,P130,RASAH,Negeri Sembilan,06-6015557,06-6015357,pejabatmprasah@gmail.com,"No. 531, Tingkat Bawah, Jalan Haruan 4/6, Pusat Komersial Oakland,70300 Seremban, Negeri Sembilan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.130-RASAH.png,,MAKLUMAT,
204,YB TUAN SANISVARA NETHAJI RAYER A/L RAJAJI,PH - DAP,,,D-37,P050,JELUTONG,Pulau Pinang,04-2828678,04-2299815,p50.jelutong@yahoo.com,"No. 90E, Lorong Perak, 11600 Jelutong, Pulau Pinang.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.050-JELUTONG.png,,MAKLUMAT,
205,YB PUAN NOORITA BINTI SUAL,PH - DAP,,,D-56,P181,TENOM,Sabah,087-734898,,parlimenp181tenom@gmail.com,"Tingkat 1, Dewan Datuk Seri Panglima Antanom, 89908 Tenom, Sabah",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.181-TENOM.png,,MAKLUMAT,
206,YB DATO' MUHAMMAD BAKHTIAR BIN WAN CHIK,PH - PKR,,,E-37,P053,BALIK PULAU,Pulau Pinang,04-8660807,04-8660997,bakhtiar.m@gmail.com,"8 Jalan Bidai U8/22, Bukit Jelutong 40150 Shah Alam, Selangor",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.053-BALIK PULAU.png,,MAKLUMAT,
207,YB TUAN WONG HON WAI,PH - DAP,,,E-42,P048,BUKIT BENDERA,Pulau Pinang,04-8930352,,wonghonwai1973@gmail.com,"No.14,Jalan Evergreen 5,10470 Mount Erskine,Pulau Pinang.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.048-BUKIT BENDERA.png,,MAKLUMAT,
208,YB TUAN P. PRABAKARAN,PH - PKR,,,E-55,P115,BATU,Kuala Lumpur,03-27127115,03-27128115,prabaparam@gmail.com,"698 Unit 1-1-7,Kompleks Kantonment Prima, Jalan Sultan Azlan Shah,51200 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.115-BATU.png,,MAKLUMAT,
209,YB TUAN PANG HOK LIONG,PH - DAP,,,D-48,P142,LABIS,Johor,,,magnacartaphl@yahoo.com,"No. 3, Jalan Putra 1/39, Bandar Putra, 85000 Segamat, Johor Darul Takzim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.142-LABIS.png,,MAKLUMAT,
210,YB PUAN VIVIAN WONG SHIR YEE,PH - DAP,,,D-54,P186,SANDAKAN,Sabah,089-218713,,vivianwongshiryee@gmail.com,"Pusat Khidmat Rakyat Parlimen P186 Sandakan, B-7-2, Tingkat 2, Lorong Letat Jaya 1, Bandar Letat Jaya, Sandakan, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2019/YB Sandakan.jpg,,MAKLUMAT,
211,YB DR. MASZLEE BIN MALIK,PH - PKR,,,E-4,P151,SIMPANG RENGGAM,Johor,07-7550217,07-7550718,nursulaimanz@gmail.com,"37, JALAN WAWASAN, PUSAT PERNIAGAAN WAWASAN, 86200 SIMPANG RENGGAM, JOHOR.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.151-SIMPANG RENGGAM.png,,MAKLUMAT,
212,YB TUAN BARU BIAN,PSB,,,D-60,P214,SELANGAU,Sarawak,,082-265560,bianbaru@gmail.com,"Sublot 1, Lot 4867,Lorong Setia Raya 4F, Taman Casa Marbella,93350 Kuching,Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.214-SELANGAU.png,,MAKLUMAT,
213,YB TUAN TAMBAT@ JUGAH ANAK MUYANG,BEBAS,,,D-36,P203,LUBOK ANTU,Sarawak,,,jugahmuyang@gmail.com,"Lot 1745, 158 Top Green Height, Jalan Datuk Stephen Yong, 93250 Kuching SARAWAK.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.203-LUBOK ANTU.png,,MAKLUMAT,
214,YB DATO' DR. XAVIER JAYAKUMAR A/L ARULANANDAM,BEBAS,,,G-9,P112,KUALA LANGAT,Selangor,03-31802412,,kualalangatparlimen@gmail.com,"48, Jalan Pekan 2, Taman Seri,42700 Banting, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.112-KUALA LANGAT.png,,MAKLUMAT,
215,YB DATO' MASIR ANAK KUJAT,BEBAS,,,D-59,P202,SRI AMAN,Sarawak,014-8983385 / 016-2449802,,p202sriaman@gmail.com,"No. 2009, Lorong Stutong 16A, Height Estate, 93500 Kuching, Sarawak",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.202-SRI AMAN.png,,MAKLUMAT,
216,YB DATO' DR. MOHD KHAIRUDDIN BIN AMAN RAZALI,BEBAS,,,A-19,P035,KUALA NERUS,Terengganu,09-6623536,,drtakiri2015@gmail.com,"Lot PT 34232, Lembah Takir, Kg. Baru, Seberang Takir, 21300 Kuala Nerus, Terengganu.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.035-KUALA NERUS.png,,MAKLUMAT,
217,YB TUN DR. MAHATHIR BIN MOHAMAD,PEJUANG,,,E-1,P004,LANGKAWI,Kedah,03-88858900,03-88891166,drmahathir@perdana.org.my,"YAYASAN KEPIMPINAN PERDANA, NO 1, JALAN P8H, PRESINT 8, 62250 PUTRAJAYA, WILAYAH PERSEKUTUAN",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.004-Langkawi.png,,MAKLUMAT,
218,YB DATO' SERI UTAMA HAJI MUKHRIZ TUN DR. MAHATHIR,PEJUANG,,,E-3,P005,JERLUN,Kedah,03-64118338,03-64118002,mukhrizm@gmail.com,"5, Jalan Tun Ismail 1, Bukit Tunku, 50480 Kuala Lumpur",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.005-Jerlun.png,,MAKLUMAT,
219,YB DATO' WIRA HAJI AMIRUDDIN BIN HAJI HAMZAH,PEJUANG,,,E-6,P006,KUBANG PASU,Kedah,04-9172902,,amiruddinhamzah@gmail.com,"No.2, Jalan Desa Bestari 7, Taman Desa Bestari,43900 Salak Tinggi, Sepang, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.006-Kubang Pasu.png,,MAKLUMAT,
220,YB DATUK DR. SHARUDDIN BIN MD SALLEH,PEJUANG,,,E-7,P149,SRI GADING,Johor,07-4559277,,khidmatrakyatsrigading@gmail.com,"Pusat Khidmat Rakyat Parlimen Sri Gading, No.14,Jalan Kencana 1A/24,Taman Pura Kencana Sri Gading, 83300 Batu Pahat JOHOR BHARU.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.149-SRI GADING.png,,MAKLUMAT,
221,YB TUAN SYED SADDIQ BIN SYED ABDUL RAHMAN,MUDA,,,E-5,P146,MUAR,Johor,,,info@syedsaddiq.my,"Pusat Khidmat Ahli Parlimen Muar,G-6, No.1, Lot 3352,Jalan Abdul Rahman,84000 Muar, Johor Darul Takzim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.146-MUAR.png,,MAKLUMAT,
